base	number	argnum	definition	note	definition_fin	note_fin
viettää	2	1	Time spent	Can be time unit or other: "vietin tunnin tätä pohtien" (I spent an hour thinking of this) vs. "vietin kesälomani Oulussa" (I spent my summer vacation in Oulu)	Aika, joka vietetään	Voi olla ajan yksikkö tai muu: "vietin tunnin tätä pohtien" vrt. "vietin kesälomani Oulussa"
viettää	2	2	Activity	NULL	Toiminta	NULL
vihata	1	0	Entity who hates arg1	Experiencer	Taho, joka tuntee vihaa	Kokija
vihata	1	1	Target of hatred	NULL	Taho tai asia, jota arg0 vihaa 	NULL
viheltää	1	0	Creature making noise	NULL	Olento, joka pitää ääntä	NULL
viheltää	1	1	Noise, tune	NULL	Melu, sävel	NULL
viheltää	1	2	Hearer	(tags: rare)	Kuulija	NULL
vihertää	1	1	Thing being green	NULL	Asia, joka vihertää, on vihreä	NULL
vihjailla	1	0	Entity saying arg1	NULL	Taho, joka sanoo arg1:n	NULL
vihjailla	1	1	Utterance	NULL	Repliikki	NULL
vihjailla	1	2	Entity hearing arg1	NULL	Taho, joka kuulee arg1:n	NULL
vihjaista	1	0	Entity who hints	NULL	Taho, joka vihjaa	NULL
vihjaista	1	1	Utterance	NULL	Mitä vihjataan	NULL
vihjaista	1	2	Audience	NULL	Kuulija, yleisö	NULL
vihkiä	1	0	Entity consecrating someone or something	NULL	Taho, joka vihkii jonkun tai jonkin	NULL
vihkiä	1	1	Entity or thing consecrated, ordained	NULL	Vihitty taho	NULL
vihkiä	1	2	Task, position, purpose	NULL	Tehtävä, arvo, tarkoitus	NULL
vihloa	1	1	Entity experiencing pain	NULL	Taho, joka tuntee kipua	NULL
vihloa	1	2	Cause or location of pain	NULL	Kivun syy tai paikka	NULL
viihtyä	1	0	Entity feeling at home	NULL	Taho, joka viihtyy	NULL
viihtyä	1	2	LOC	NULL	LOC	NULL
viihtyä	1	3	Reason	NULL	Syy	NULL
viihtyä	2	0	Entity thriving	NULL	Taho, joka viihtyy	NULL
viihtyä	2	2	LOC	NULL	LOC	NULL
viilentää	1	0	Entity or thing causing the cooling	Agent or causer	Taho tai asia, joka viilentää	Agentti tai aiheuttaja
viilentää	1	1	Thing cooling	NULL	Asia, joka viilenee	NULL
viiletä	1	1	Thing cooling down	NULL	Asia, joka viilenee	NULL
viiltää	1	0	Entity slashing	NULL	Taho, joka viiltää	NULL
viiltää	1	1	Thing cut	E.g. a cut or a piece	Asia, joka viilletään	Esim. viilto tai pala
viiltää	1	2	Location of a cut	NULL	Viillon paikka	NULL
viiltää	1	3	Instrument	NULL	Väline	NULL
viimeistellä	1	0	Entity who finalises	NULL	Taho, joka viimeistelee	NULL
viimeistellä	1	1	Thing finalised	NULL	Asia, joka viimeistellään	NULL
viipaloida	1	0	Entity slicing	NULL	Taho, joka viipaloi	NULL
viipaloida	1	1	Thing sliced	NULL	Asia, joka viipaloidaan	NULL
viipaloida	1	2	Instrument	NULL	Väline	NULL
viipyä	1	0	Thing remaining, staying, lingering	NULL	Taho, joka viipyy	NULL
viisastua	1	1	Entity becoming wiser	NULL	Taho, joka tulee viisaammaksi	NULL
viisastua	1	2	Reason	NULL	Syy	NULL
viitata	1	0	Entity referring to something	NULL	Taho, joka viittaa johonkin	NULL
viitata	1	1	Entity being referred to	NULL	Taho, johon viitataan	NULL
viitata	2	0	Person raising a hand	NULL	Henkilö, joka viittaa	NULL
